FID,IID,PS_PL1,PS_PL2,PS_PL3,PS_PL4,PS_PL5,PS_PL6,PS_PL7,PS_PL8,SM_PL9,SM_PL10,SM_PL11,SM_PL12,SM_PL14,SM_PL16,SM_PL18,SM_PL19,SM_PL21,SM_PL22,SM_PL24,SM_PL25,PE_PL26,PE_PL27,PE_PL28,PE_PL30,PE_PL31,PC_PL33,PC_PL34,PC_PL35,PC_PL36,PC_PL37,PC_PL38,PC_PL39,PC_PL40,PC_PL43,PC_PL44,PI_PL46,PI_PL47,PI_PL48,PI_PL49,PI_PL50,PI_PL51,LPC_PL52,LPC_PL53,LPC_PL55,LPC_PL56,LaCer_PL57,LaCer_PL58,LaCer_PL59,LaCer_PL60,LaCer_PL61,LaCer_PL62,LaCer_PL64,LaCer_PL66,Glucer_PL67,Glucer_PL69,Glucer_PL70
364,364,2210906,3527860,3641621,10980885,8663218,4285061,4270442,4282610,6862746,1948258,6091287,37755410,11074487,29247548,2123274,34404646,2176208,42989989,2224465,21715292,4957404,26033948,20289213,28151668,42770249,22120853,99010097,25273832,27596856,90520508,19042072,47316910,89320262,19878354,25001132,3041120,4357987,4930157,1104295,1537479,1231972,8564818,2423870,2859210,2409636,595126,474868,617549,1186442,1155625,2221890,3600093,1582095,945650,1066480,692380
305,305,874081,2209327,3854120,13976677,16897959,4434098,6595410,5226184,10499644,4056680,9775713,39148184,23627804,42906022,3502145,50861897,3028332,42237615,2937845,22448355,4739455,18250060,23042446,31852906,72575956,20902544,81654049,24758632,31030144,61947693,20568821,36418242,100201583,26467986,51795859,2799013,5261002,6282034,1146090,1452531,1159059,5725577,1126445,2649126,1679687,1036605,738582,1125702,1382711,1306532,2623001,2867310,1503128,880540,1388598,754754
401,401,2523522,5123517,3928210,12517686,12883268,4459811,5930384,3560458,10750787,4431780,9975191,56913008,17854789,40971986,3485135,55059528,3881097,59022029,3784853,31205584,8632545,34111212,27064145,33165240,57690804,33526183,121928239,30171775,37927200,105208701,17457473,46955641,116005095,24333006,36127752,5544452,6088242,7081237,850656,1089135,904532,20434817,5435826,4813258,4715250,941464,799801,1450444,1851016,2207309,4127233,5476627,2603933,1395807,1743349,1029508
234,234,2118225,3752109,4395661,13032975,11524137,4011955,4536084,3975060,9510699,4339274,8015525,38603922,18084691,33456062,3044777,44177347,2451934,39230857,2891504,21130290,5756639,27553906,25752303,35106376,64982795,37264482,135436827,35099149,41024099,113592489,33904012,55632916,129446862,27576996,42661255,5436317,6785760,9737015,1323872,1822866,1609208,10090879,1453616,2542922,1303336,1305645,1017194,1722735,1868141,2188791,3942734,4344127,2331751,859254,1358671,761861
264,264,1142761,2537011,5202917,15476007,14842491,4635300,5954907,5612270,11032493,4632499,9046215,51886013,21141597,41481045,4239614,55504762,3506466,53105725,4502400,31192377,4627602,23234769,21911946,37590449,70544815,19294147,93428147,23465238,33804885,81785020,28021989,49925162,114763121,31401559,47171434,3882469,6554519,7174273,1332767,1703229,1326232,7224823,1282386,2536492,1455465,1001313,445717,675536,925591,1056013,2087912,2586473,1485566,503558,756739,519925
235,235,2142059,4823798,4544073,13918585,14002950,4191950,5218586,4910028,11422841,5155828,10487961,62000398,17927150,33716244,3098508,52011335,2967227,52137067,3487604,25779895,7967759,34985536,26326912,39577397,69362438,35838633,160343207,41957677,58590991,166982467,43845090,66410369,176367423,33778043,53335433,7283762,8274712,11102086,1160194,1498460,1189866,17115961,2631931,3038236,2851070,797528,458059,815139,900171,1049067,2600433,3014546,1379761,1006172,1487623,791910
265,265,1808637,3782717,5213449,16178307,16087180,5203271,6666508,5770558,11319542,5461352,10523380,55599644,17042717,35903650,3145451,49161332,3125086,49908932,3438956,27049448,5328539,28035617,28704473,39987430,80582875,25469047,125150405,36983561,42184462,124349009,37006441,60433019,167847586,36646301,56281099,5592168,9343450,11378683,1675356,2333341,1929369,8854440,1745667,3960057,1691789,1693720,527978,1207625,1246764,1947184,2818763,3989547,2160966,1364616,1711734,1137576
266,266,1359672,3595330,4860643,16199905,17014818,4966120,6713709,5370542,11652486,4842716,10863298,48837954,20554168,40695981,3467376,51399550,3100118,46711864,3318676,24208513,5401545,22229580,25439896,37796459,80887990,19993857,112668538,34376496,42079562,114228421,31551764,47990678,144844343,32987083,57797751,4312189,7697760,10127802,1556927,1998952,1557456,5747716,1005021,3190435,1313134,1016637,403522,820907,821499,1180292,1983298,2445398,1278110,1067912,1628168,1023633
236,236,3657580,6019762,4995778,13893138,11354541,4519670,4331956,3448032,12253872,6146626,12097436,55989257,18844212,34418885,3724422,51406958,2666471,45793909,3962853,26655625,8141680,42935007,29929948,38545782,61787026,32017847,124755241,34541005,47392458,123067717,40222329,72901511,153481841,28045078,42021587,8163680,9418549,12579514,1080001,1212545,970778,15786468,2296806,3056062,1761503,1236366,751366,1807242,1387936,2233916,3543195,3794407,2282555,1961966,2335155,1506165
267,267,1543187,3373260,3488202,11351453,11819934,3767635,4840312,3555807,9940906,4032222,7506620,46199367,15234455,33357180,2978177,42668389,2616544,45407104,3173588,23972839,3661133,19587025,22508792,28835187,59992313,10253692,67229490,16285691,22442588,71159880,23885468,40712353,102394038,24847803,36477209,3525073,5840671,6597328,1132585,1501595,1188116,3849055,750430,1816723,700786,1436778,463562,704824,1058624,1117987,2335324,3171962,1628773,753230,906240,656897
